Index,Headline,original_category,llm_category,original_section,llm_section,neighbor_1_index,neighbor_1_headline,neighbor_1_similarity,neighbor_2_index,neighbor_2_headline,neighbor_2_similarity,neighbor_3_index,neighbor_3_headline,neighbor_3_similarity,neighbor_4_index,neighbor_4_headline,neighbor_4_similarity,neighbor_5_index,neighbor_5_headline,neighbor_5_similarity,same_original_category_neighbor_ratio,same_llm_category_neighbor_ratio,same_original_section_neighbor_ratio,same_llm_section_neighbor_ratio,mean_neighbor_similarity,minimum_neighbor_similarity,maximum_neighbor_similarity
2163,"Liverpool, Arsenal, Tottenham Hotspur, Manchester United and Manchester City say they will withdraw from Super League - CNN",sport,sport,football,football,2162,Clubs to amend plans for elite European Super League after UK teams say they won't participate - CNN,0.76098603,2185,Ander Herrera and Mesut Ozil: Shock and outrage as world reacts to European Super League breakaway plans - CNN,0.7121296,3471,Super League: UEFA forced to drop disciplinary proceedings against remaining clubs - CNN,0.6817719,2171,What is the new European Super League and how will it work? - CNN,0.6567832,2177,Premier League: Football fans condemn 'ultimate betrayal' of European Super League - CNN,0.6541821,1.0,1.0,1.0,1.0,0.69317055,0.6541821,0.76098603
4035,Alex Ferguson says Cristiano Ronaldo should have started against Everton - CNN,sport,sport,football,football,4065,Manchester United vs. Everton: Cristiano Ronaldo is named on the substitutes' bench as Andros Townsend goal grabs draw - CNN,0.7567172,4105,Cristiano Ronaldo benching for Manchester United causes fierce debate between pundits - CNN,0.7278802,3453,Cristiano Ronaldo scores dramatic last-minute winner for Manchester United in Champions League - CNN,0.62531793,3626,Manchester United and Cristiano Ronaldo stunned by late Young Boys winner in Champions League - CNN,0.6108072,4413,Cristiano Ronaldo saves Manchester United point with dramatic goal - CNN,0.6066053,1.0,1.0,1.0,1.0,0.66546553,0.6066053,0.7567172
797,"Threatened with 'acid, rape, abuse': Protesting Iran's compulsory hijab law - CNN",news,news,middleeast,middleeast,800,"Cycle of shame: Harassed in the street, then again on social media
 - CNN",0.48121,1173,The secret costs of Islamophobia - CNN,0.48009515,814,This all-female TV station is bringing women's issues to Afghanistan's attention - CNN,0.4772594,3658,'It makes me feel like possibilities are endless': Meet the Muslim women parkour athletes taking up space - CNN,0.46441007,751,These African women are making sexual pleasure a gender equality priority - CNN,0.4572854,0.8,0.6,0.2,0.0,0.472052,0.4572854,0.48121
3323,"Plymouth shooting: Attacker identified after five killed in rare mass shooting in England
 - CNN",news,news,uk,uk,3316,Plymouth shooter was a misogynist whose remarks echoed the 'incel' ideology  - CNN,0.70991236,2240,"Paris shooter is on the run, leaving behind one dead and one injured  - CNN",0.6088209,2361,Sasha Johnson: Man charged with conspiracy to murder after shooting of BLM activist - CNN,0.56967723,2777,Sasha Johnson: Second man charged in shooting of British Black Lives Matter activist - CNN,0.5535842,4532,"House fire in Sutton, London: Two sets of twin boys die after being left home alone  - CNN",0.5381186,1.0,0.8,0.8,0.4,0.59602267,0.5381186,0.70991236
1373,"Proud Boys, right-wing extremists and their supporters use Christian website GiveSendGo to raise funds - CNN",news,politics,us,politics,1391,"Insurrection a stunning show of force for conspiracy groups, extremists and fringe movements - CNN",0.54183674,1369,They stormed the Capitol to overturn the results of an election they didn't vote in - CNN,0.47180843,2157,Alexey Navalny: Protesters across Russia call for Navalny's release on same day as Putin's annual address - CNN,0.43444413,3162,LGBTQ campaigner 'happy to be alive' after attack on Pride march offices in Georgia - CNN,0.4293567,1085,Outraged online? We all are. Here's what one Christian says about how to deal - CNN,0.427001,1.0,0.8,0.6,0.8,0.46088943,0.427001,0.54183674
1979,Michele Roberts: Meet the woman keeping NBA stars in line - CNN,sport,entertainment,sport,celebrities,2469,Michael Jordan shares final text messages he exchanged with Kobe Bryant - CNN,0.5968988,1827,Kevin Durant accused of using homophobic slurs in private messages with Michael Rapaport - CNN,0.5591134,1807,LeBron James: Fans ejected after courtside argument during match - CNN,0.51655924,2351,Kyrie Irving: NBA star says some fans are treating players like 'they're in a human zoo'  - CNN,0.506593,1971,NBA: Caris LeVert admits 'gratefulness' following NBA return 46 days after surgery to remove cancerous mass - CNN,0.49773008,1.0,0.0,1.0,0.0,0.5353789,0.49773008,0.5968988
473,'The Andy Warhol Diaries' review: Netflix's Ryan Murphy-produced docuseries gives the artist another 395 minutes of fame - CNN,entertainment,entertainment,entertainment,movies,80,'The Adam Project' review: Ryan Reynolds comes back from the future in a 'Free Guy' reunion for Netflix  - CNN,0.41504878,1538,Tiger Woods documentary: 'He's not going to like this sh*t at all' - CNN,0.32566035,3373,"'Trainspotting' turned a spotlight on Scotland's heroin problem. 25 years on, it's Europe's drug death capital - CNN",0.31365442,462,'Being the Ricardos' review: Nicole Kidman and Javier Bardem shine in Aaron Sorkin's beyond-black-and-white look at 'I Love Lucy' - CNN,0.30913252,471,'Super Pumped: The Battle for Uber' review: Joseph Gordon-Levitt and Kyle Chandler star in Showtime's latest tech titan takedown - CNN,0.30666935,0.6,0.8,0.6,0.6,0.33403307,0.30666935,0.41504878
3528,USOPC will require Covid-19 vaccine for all US athletes at Beijing Games - CNN,sport,sport,sport,sport,3846,Beijing 2022: Mandatory vaccinations required for Canadian Olympic athletes - CNN,0.81595504,1798,Tokyo Olympics: IOC says athletes will not need vaccine to participate - CNN,0.7723472,2986,Olympic health plan for US Tokyo delegation: Treat members as if they're unvaccinated - CNN,0.771111,4485,Winter Olympics: China admits Beijing 2022 could bring Covid-19 cases  - CNN,0.7436112,1625,Vaccines 'encouraged' but not compulsory for athletes at Tokyo: Coates - CNN,0.72417915,1.0,0.4,1.0,0.4,0.76544076,0.72417915,0.81595504
2921,"Suni Lee: US gymnast wins Olympic all-around after injuries, tragedies and a horrific accident - CNN",sport,sport,sport,football,2625,Simone Biles secures spot on United States Gymnastics team for next month's Tokyo Olympics - CNN,0.63351816,2916,Hmong people: Suni Lee and an epochal moment for the Hmong in America  - CNN,0.6266011,3394,Simone Biles thanks Japanese gym where she secretly trained to regain her Olympic form - CNN,0.6195397,3288,"Success of Suni Lee, Jay Litherland and Justine Wong-Orantes at Tokyo 2020 reflects long, hard fight for Asian-American athletes - CNN",0.61362535,3371,What's next for gymnastics great Simone Biles? - CNN,0.6024406,1.0,0.4,1.0,0.2,0.619145,0.6024406,0.63351816
4253,Australian family rescued after days stranded in Simpson Desert - CNN,news,news,australia,australia,4416,"Cleo Smith, 4, who vanished from Australian campsite, found alive in locked house  - CNN",0.49768275,4405,Cleo Smith's mother says: 'Our family is whole again'  - CNN,0.48598146,3843,Cleo Smith: Australian authorities offer A$1 million reward for missing 4-year-old  - CNN,0.48015916,3681,Missing toddler AJ Elfalak found after three-day search in Australian bush - CNN,0.4712029,3964,Two teenagers charged for allegedly killing 14 kangaroos in Australia - CNN,0.47094834,1.0,1.0,1.0,1.0,0.48119488,0.47094834,0.49768275
1604,US Soccer scraps anthem-kneeling policy - CNN,sport,sport,football,football,1642,Soccer: US women's team 'past the protesting phase' of anthem debate - CNN,0.8426299,3000,Women's soccer teams take a knee ahead of opening Olympic Games matches  - CNN,0.79639727,562,FC Dallas' Reggie Cannon criticizes booing of players kneeling during national anthem - CNN,0.63443196,1838,Thierry Henry: Conversation around taking a knee means people are 'forgetting' the true cause - CNN,0.6181023,4013,"National Women's Soccer League players pause mid-match, stand in solidarity in first match back following postponement - CNN",0.57594585,1.0,0.6,0.8,0.6,0.6935014,0.57594585,0.8426299
4617,"LeBron James becomes fifth NBA player to reach 100 triple-doubles, but Lakers lose to Grizzlies - CNN",sport,sport,sport,football,1674,"LeBron James becomes the third NBA player to reach 35,000 career points - CNN",0.80193114,4653,Lakers vs Celtics: LeBron James leads LA to 117-102 victory over Boston  - CNN,0.77379906,4412,"Lakers vs Rockets: Big Three shine as the LA beats Houston, Chris Paul moves to third in all-time assist list - CNN",0.76996744,2866,NBA Lakers: LeBron James' perfect record in first-round series ends with Los Angeles' elimination loss to Phoenix Suns - CNN,0.73277634,2437,"LeBron James hits game-winner as the LA Lakers beat the Golden State Warriors, advance to playoffs - CNN",0.7312839,1.0,1.0,1.0,1.0,0.76195157,0.7312839,0.80193114
1285,A young ballclub barnstorms the Deep South   - CNN,news,news,us,us,1564,Sports world sees two Americas in policing of DC riot and Black Lives Matter protests - CNN,0.46738183,1557,'You just show them the photos.' How LeBron James says he talks to his children about the double standard of the US Capitol riots - CNN,0.45526403,1219,The massacre that didn't happen - CNN,0.42312306,2386,"George Floyd: Athletes of the NBA, WNBA and beyond speak out on the anniversary of his death - CNN",0.41704047,1143,How Trump's victory turns into another 'Lost Cause' - CNN,0.4068625,0.4,0.6,0.4,0.6,0.4339344,0.4068625,0.46738183
4144,"English Channel tragedy: After dozens drown, England and France ramp up war of words - CNN",news,politics,europe,politics,4143,English Channel tragedy: At least 27 people dead after migrant boat sinks off French coast - CNN,0.8716068,1267,Paris survivor stories: Friday night interrupted - CNN,0.48128784,2991,"Germany floods: More than 150 people still missing unlikely to be found, officials fear - CNN",0.4774642,4142,"French fishermen threaten to block Channel Tunnel, ports in protest over fishing licenses - CNN",0.4737764,1932,Boris Johnson's boast of a 'Global Britain' is taking a pounding amid series of crises - CNN,0.45054793,1.0,0.2,0.6,0.2,0.55093664,0.45054793,0.8716068
34,Pete Davidson and five paying customers to fly on Jeff Bezos' suborbital rocket - CNN,business,entertainment,tech,celebrities,431,Pete Davidson in talks to head to space on Jeff Bezos' Blue Origin - CNN,0.84857064,471,'Super Pumped: The Battle for Uber' review: Joseph Gordon-Levitt and Kyle Chandler star in Showtime's latest tech titan takedown - CNN,0.42433757,158,Amazon's going to Nollywood -- and its deals with studios could shake up one of the world's most prolific filmmaking hubs - CNN,0.3724457,2732,U.S. Open: Brooks Koepka vs. Bryson DeChambeau -- Why everyone is talking about golf's new rivalry - CNN,0.3642683,2988,Aviation enthusiast potentially saves pilot's life after seeing sparks coming from his plane - CNN,0.36271793,0.0,0.4,0.0,0.2,0.474468,0.36271793,0.84857064
3634,US Open: Daniil Medvedev beats Novak Djokovic in men's final - CNN,sport,sport,tennis,sport,3650,US Open: Novak Djokovic is one win away from a calendar grand slam and 21st major title  - CNN,0.80945915,3641,"Novak Djokovic's tears, Daniil Medvedev booed during sets and history denied: A US Open final for the ages - CNN",0.7588477,3553,Roger Federer reflects on Novak Djokovic's 'exceptional year' - CNN,0.7488563,3105,Wimbledon final: Novak Djokovic wins record-equaling 20th grand slam title - CNN,0.72251797,4361,"Novak Djokovic secures year-end No. 1 spot for record seventh time, surpassing Pete Sampras - CNN",0.708453,1.0,1.0,0.8,0.4,0.7496268,0.708453,0.80945915
2435,Cecil Rhodes statue will remain at Oxford University - CNN,news,news,uk,uk,1849,Bristol protest: Boris Johnson condemns 'disgraceful' attacks on police - CNN,0.39490092,2160,"'Pervasive racism' left tens of thousands of Black and Asian war dead uncommemorated, UK inquiry findss - CNN",0.38209254,2184,UN condemns 'reprehensible' UK race report for repackaging 'racist tropes into fact' - CNN,0.36699486,4456,Memorial International rights group shut down by Russian court - CNN,0.3543775,1896,Bristol crime bill protesters injure police and set vehicles ablaze  - CNN,0.33620656,1.0,0.4,0.8,0.4,0.36691448,0.33620656,0.39490092
257,Democratic retirements: Low morale and redistricting hand the party a growing problem - CNNPolitics,politics,politics,politics,politics,258,The Democratic retirement floodgates just burst open - CNNPolitics,0.8294249,252,Here's why Democrats' chances of winning in November are slipping - CNNPolitics,0.6756954,259,"The drip, drip, drip of Democratic retirements  - CNNPolitics",0.58633,254,Two long-serving Democratic congressmen announce they won't seek reelection in 2022 - CNNPolitics,0.5673932,256,Rep. Brenda Lawrence adds to growing number of House Democrats to announce retirement - CNNPolitics,0.55347586,1.0,1.0,1.0,1.0,0.64246386,0.55347586,0.8294249
1877,World Cup: Netherlands hope to highlight Qatar migrant workers' situation - CNN,sport,sport,football,football,1858,Norway players wear T-shirts protesting Qatar World Cup ahead of qualifier against Gibraltar - CNN,0.6619962,4222,"World Cup 2022: Qatar inadequately investigating workplace deaths, says ILO - CNN",0.63939285,4096,"Qatar 2022: Amid ongoing human rights concerns, World Cup chief promises host nation is 'tolerant' and 'welcoming' - CNN",0.61626375,3551,FIFA punishes Hungarian Football Federation following racist behavior of 'numerous' fans - CNN,0.5382335,4454,Ian Wright attacks 'disrespect' of Africa Cup of Nations - CNN,0.53712225,1.0,0.6,0.8,0.6,0.5986017,0.53712225,0.6619962
2484,"Kareem Abdul-Jabbar is proud of NBA's new social justice champion award, but worries US still faces 'the same issues' - CNN",sport,news,sport,us,2698,Money talks: Michael Jordan and the impact of not being an athlete activist - CNN,0.59011,1616,Kobe Bryant: Brooklyn Nets star Kyrie Irving calls for NBA to change its logo  - CNN,0.5381355,843,How to honor Kobe Bryant's legacy through the charities he supported - CNN,0.52977145,1764,NBA: Steph Curry and Nikola Jokic score 50 points or more -- but both lose - CNN,0.5279494,1571,"LeBron James looks for WNBA win over Kelly Loeffler after leading Lakers to victory,  - CNN",0.5237116,0.8,0.2,0.8,0.2,0.5419356,0.5237116,0.59011
2809,Emmanuel Macron slapped by member of public in southeast France - CNN,news,news,europe,europe,4381,Macron's ex-bodyguard handed jail sentence over May Day assaults - CNN,0.6243204,4564,Emmanuel Macron Fast Facts - CNN,0.565699,4695,Sword-wielding man dressed as a ninja shot by French police - CNN,0.501197,1509,Belgium protests over a man's death in police custody result in more than 100 arrests - CNN,0.49617428,2703,France elections: Macron and Le Pen dealt setback in regional poll marred by low turnout - CNN,0.4941243,1.0,0.4,1.0,0.4,0.5363029,0.4941243,0.6243204
1472,"Madrid explosion: 3 dead, several injured as explosion rocks Spanish capital  - CNN",news,news,europe,europe,4599,"Italy building collapse: At least 3 dead, 6 missing in Ravanusa - CNN",0.6090046,3829,Manchester bombing: Man arrested in connection with 2017 Manchester Arena bombing - CNN,0.5249602,1333,Four of the five victims killed in Florida building collapse were identified. 156 people remain unaccounted for - CNN,0.5131425,4047,"Milan: Small plane crashes into empty building in city outskirts, all 8 onboard die - CNN",0.51069283,2231,"Spain plans to open grave containing 33,000 civil war victims - CNN",0.50659174,1.0,1.0,0.6,0.6,0.5328784,0.50659174,0.6090046
1896,Bristol crime bill protesters injure police and set vehicles ablaze  - CNN,news,news,uk,uk,1849,Bristol protest: Boris Johnson condemns 'disgraceful' attacks on police - CNN,0.8261281,1943,"With UK police under fire, Boris Johnson pushes new bill that could end peaceful protest - CNN",0.69369936,3926,British lawmakers face risks when working with the public - CNN,0.59413564,1932,Boris Johnson's boast of a 'Global Britain' is taking a pounding amid series of crises - CNN,0.5627191,2392,Sasha Johnson: UK's Black Lives Matter activist in critical condition after being shot in head in London - CNN,0.55256784,1.0,0.2,1.0,0.2,0.64585,0.55256784,0.8261281
1347,Gaetz probe includes scrutiny of potential public corruption tied to medical marijuana industry  - CNNPolitics,politics,politics,politics,politics,1303,Compassionate release became a life-or-death lottery for thousands of federal inmates during the pandemic  - CNN,0.43576312,3184,Sha'Carri Richardson suspended from US Olympic team after testing positive for marijuana - CNN,0.40151334,1885,Australia's political culture in spotlight again as new report emerges of lewd acts in parliament - CNN,0.37689966,1359,Fake tax preparer gets six Covid-19 bailout loans worth more than $1 million  - CNN,0.37643754,104,"Brittney Griner: 'It's the most audacious hostage taking by a state imaginable,' says former captive - CNN",0.37576413,0.0,0.4,0.0,0.4,0.39327556,0.37576413,0.43576312
1928,LeBron James becomes part owner of Boston Red Sox - CNN,sport,business,sport,business,1571,"LeBron James looks for WNBA win over Kelly Loeffler after leading Lakers to victory,  - CNN",0.6086501,2569,"LeBron James reinjures ankle, uncertain for Denver Nuggets on Monday - CNN",0.59152853,4099,Fenway Sports Group acquires NHL's Pittsburgh Penguins  - CNN,0.54783547,1455,LeBron James says 'it would be great' for LA Lakers to visit the White House - CNN,0.53113925,1777,LeBron James says having All-Star Game is 'a slap in face' to players - CNN,0.51064795,1.0,0.2,1.0,0.2,0.5579603,0.51064795,0.6086501
4372,Manchester United suffers 2-0 defeat against rival Manchester City as pressure grows on manager Ole Gunnar Solskjaer - CNN,sport,sport,football,football,4180,Manchester United qualifies for Champions League knockout stages with 2-0 victory against Villarreal - CNN,0.8250413,2036,Manchester United brings Manchester City's 21-match winning streak to an end  - CNN,0.7937054,2499,Manchester City wins English Premier League title after Manchester United lose  - CNN,0.7829566,1602,Manchester United draw level with Liverpool as Fernandes penalty sees off Villa - CNN,0.7708174,2253,Premier League leader Manchester City stunned by 10-man Leeds United - CNN,0.7694322,1.0,1.0,1.0,1.0,0.7883905,0.7694322,0.8250413
3086,Scientists are trying to control lightning with a giant laser - CNN,news,news,europe,asia,4092,Russia says Zircon hypersonic missile hit target in latest test - CNN,0.40678573,668,Slovenia chimney climb: Janja Garnbret and Domen Škofic scale the world's tallest artificial multi-pitch route - CNN,0.39415228,4728,"This company is ""zapping"" cow dung with lightning to trap climate-warming methane - CNN",0.36380804,4490,Shelf-climbing robots are helping warehouses meet the holiday rush - CNN,0.3548774,2314,Russia is amassing unprecedented military might in the Arctic - CNN,0.34357786,0.8,0.4,0.8,0.4,0.37264028,0.34357786,0.40678573
4523,"Covid leads to NFL, NHL postponements, NCAA delays and cancellations - CNN",sport,sport,sport,football,4575,Covid outbreaks in 3 leagues postponing games and forcing key players to miss games - CNN,0.8170129,4529,The NFL has updated its Covid protocols as the virus disrupts game schedules - CNN,0.80507827,4534,The NFL and NBA are changing their Covid-19 protocols as cases rise - CNN,0.7940235,2990,NFL says coronavirus outbreaks among unvaccinated players may lead to forfeits this season - CNN,0.7553476,4567,Covid protocols put sports stars on the sidelines - CNN,0.75267726,1.0,0.8,1.0,0.8,0.78482795,0.75267726,0.8170129
3079,"Roger Federer pulls out of 2020 Olympics, citing knee injury - CNN",sport,sport,tennis,tennis,3067,"Novak Djokovic says he will compete in Tokyo Olympics, Golden Slam still in play - CNN",0.7848089,1989,Roger Federer withdraws from upcoming tournament after making his tennis return  - CNN,0.78377056,3305,Roger Federer will miss US Open after announcing knee surgery - CNN,0.7834892,1809,Roger Federer to make tennis comeback in March in Doha - CNN,0.7777667,2848,Federer withdraws from French Open over knee concerns - CNN,0.7731284,1.0,1.0,1.0,0.6,0.78059274,0.7731284,0.7848089
2081,Brazil variant: UK hunts for person infected with Covid-19 variant first identified in Manaus - CNN,news,health,uk,health,2070,UK coronavirus: How Britain failed to impose an effective quarantine system   - CNN,0.82383955,2478,Boris Johnson is 'anxious' as Covid-19 variant found in India spreads in UK  - CNN,0.6780158,1581,"As coronavirus cases spiral, Europe starts 2021 by extending lockdowns  - CNN",0.65893066,1567,WHO calls for more intensified measures to fight UK coronavirus variant - CNN,0.6565163,1458,"Covid variant found in UK may be more deadly than others, says Boris Johnson - CNN",0.64420027,1.0,0.8,0.4,0.8,0.69230056,0.64420027,0.82383955
88,"As Robert Pattinson takes over, why 'The Batman's' long history casts a long shadow among fans - CNN",entertainment,entertainment,entertainment,movies,1885,Australia's political culture in spotlight again as new report emerges of lewd acts in parliament - CNN,0.31055987,4217,Tim Paine: Australia Test cricket captain steps down over ​2017 texts sent to female colleague  - CNN,0.30380678,3536,Cricket swaps 'batsman' for gender-neutral 'batter' in law amendment  - CNN,0.30290174,736,'Blackface': Dutch holiday tradition or racism? - CNN,0.3018816,456,"'Scream' review: Courteney Cox, David Arquette, and Neve Campbell reunite with a new cast to refresh the formula - CNN",0.29337263,0.2,0.2,0.2,0.2,0.30250454,0.29337263,0.31055987
1917,Champions League: Bayern Munich cruises into record-breaking 19th quarterfinal - CNN,sport,sport,football,football,1909,Champions League quarterfinal draw: Bayern Munich to face PSG in repeat of 2020 final - CNN,0.6909821,4652,Champions League: Atlético Madrid beats Porto in bad-tempered clash to qualify for last 16 - CNN,0.6848982,4647,Barcelona dumped out of Champions League group stage after Bayern Munich defeat  - CNN,0.68347377,3618,Barcelona: Gerard Pique admits 'We are who we are' as Barça trounced by Bayern in Champions League - CNN,0.67696744,2360,Chelsea beats Manchester City to win the Champions League title  - CNN,0.67655456,1.0,1.0,1.0,1.0,0.6825752,0.67655456,0.6909821
2750,Russia vs. Finland: Russian and Finnish players show their solidarity for Christian Eriksen at Euro 2020 - CNN,sport,sport,sport,football,2783,Denmark star Christian Eriksen in stable condition after collapsing during match against Finland - CNN,0.77349937,2661,Christian Eriksen: Denmark provides feel good story of Euro 2020 with unlikely qualification for knockout stages - CNN,0.7687371,2756,"Christian Eriksen thanks well-wishers, says he's feeling 'fine' in first social media post since cardiac arrest - CNN",0.7427659,3415,Eriksen reunited with Inter team-mates as he begins road to recovery - CNN,0.7374579,2768, Christian Eriksen: Denmark's Martin Braithwaite criticizes UEFA for resuming game following teammate's collapse - CNN,0.7288952,1.0,1.0,0.0,1.0,0.750271,0.7288952,0.77349937
1582,"Two Barcelona first-team staff test positive for Covid-19, club says - CNN",sport,sport,football,football,4468,English Premier League hit by record 103 Covid-19 cases between Dec 20-26 - CNN,0.6581218,719,Football stars go head-to-head over video games as coronavirus suspends play - CNN,0.5923917,4116,Benfica match abandoned after Covid-hit opponents left with six players - CNN,0.5870072,3030,Tokyo 2020: Two South African footballers test positive for Covid-19 in Olympic Village - CNN,0.5861391,2137,Spain coronavirus: Man arrested in Mallorca town on suspicion of infecting 22 people with Covid-19 - CNN,0.58136153,0.8,0.6,0.4,0.6,0.60100424,0.58136153,0.6581218
232,2022 midterm election calendar - CNNPolitics,politics,politics,politics,politics,220,Key dates for the 2022 midterm election - CNNPolitics,0.78415227,251,Why the 2022 midterm elections look like the opposite of 2018 - CNNPolitics,0.7283323,236,The biggest 2022 upset no one is talking about  - CNNPolitics,0.6443678,233,The 10 Senate seats most likely to flip in 2022 - CNNPolitics,0.64056784,221,Why independents have cooled on Biden -- and what that means for Democrats - CNNPolitics,0.63117254,1.0,1.0,1.0,1.0,0.68571854,0.63117254,0.78415227
3119,Prince William faces a test in Sunday's European football final  - CNN,news,sport,uk,football,2474,Let's talk about the Crown - CNN,0.59640133,2785,What to do -- and not do -- when you meet the Queen - CNN,0.58742726,2723,What to expect when Prince Harry heads back to London - CNN,0.58616817,3160,Euro 2020: Staging semis and final in London is 'recipe for disaster.' Is football -- and Covid-19 spike -- coming home? - CNN,0.57614756,2335,Analysis: The Queen's first in-person engagement this year  - CNN,0.56782246,0.8,0.2,0.8,0.2,0.58279335,0.56782246,0.59640133
1026,Yemen crisis: How you can help - CNN,news,news,world,middleeast,1024,Help refugees survive the Syrian conflict - CNN,0.53821695,3866,Ex-German soldiers arrested for trying to create paramilitary unit to fight in Yemen - CNN,0.44085085,822,How to provide aid to those in Ukraine - CNN,0.4391321,4222,"World Cup 2022: Qatar inadequately investigating workplace deaths, says ILO - CNN",0.42808247,863,Salvation Army starts holiday fundraising early to 'Rescue Christmas' - CNN,0.42193365,0.8,0.8,0.2,0.6,0.45364323,0.42193365,0.53821695
4312,Poland-Belarus: Migrants face hypothermia and broken bones in freezing forests as crisis deepens - CNN,news,news,europe,europe,4344,EU accuses Belarus of acting like 'gangster regime' as thousands of freezing migrants camp on Polish border - CNN,0.831233,4197,"What's happening in Belarus? The border migrant crisis, explained - CNN",0.824569,4336,Crisis worsens on Poland-Belarus border as migrants congregate and troops are mobilized - CNN,0.8088628,3561,Four bodies found on Polish-Belarus border as spat over migrant crisis worsens - CNN,0.7816165,4224,Belarus-Poland border: Migrant camps cleared at border as first repatriation flight leaves for Iraq - CNN,0.7781997,1.0,1.0,1.0,1.0,0.8048962,0.7781997,0.831233
2531,Liechtenstein prince accused of killing one of Europe's biggest bears - CNN,news,news,europe,europe,4200,France bear attack: 70-year-old hunter suffers 'serious' injury after encounter - CNN,0.5848747,2425,Whipsnade Zoo: Bears killed at UK zoo after they escape from enclosure - CNN,0.51037586,3337,Millionaire Russian politician shoots man he says he mistook for bear - CNN,0.46440613,4246,Austria: What a suspected neo-Nazi's gun cache says about far-right extremism in Europe - CNN,0.45700514,1355,"Ahmad Al Aliwi Alissa: What we know about the Boulder, Colorado, mass shooting suspect - CNN",0.42825812,1.0,0.6,0.6,0.2,0.48898402,0.42825812,0.5848747
2150,"Barcelona remains committed to Super League, saying it would be 'historical error' to pull out - CNN",sport,sport,football,football,3471,Super League: UEFA forced to drop disciplinary proceedings against remaining clubs - CNN,0.7341553,2177,Premier League: Football fans condemn 'ultimate betrayal' of European Super League - CNN,0.7302118,2532,Nine of 12 Super League clubs recommit to UEFA and admit project was a mistake - CNN,0.7276947,2162,Clubs to amend plans for elite European Super League after UK teams say they won't participate - CNN,0.70989525,2171,What is the new European Super League and how will it work? - CNN,0.7056967,1.0,0.8,1.0,0.8,0.72153074,0.7056967,0.7341553
2294,"Champions League: Real Madrid overpowers Liverpool, Dortmund angered by disallowed goal against Man City - CNN",sport,sport,football,football,3858,Champions League: Liverpool edges 10-man Atletico Madrid in five-goal thriller - CNN,0.7319994,4400,Liverpool dominate Atlético Madrid in feisty Champions League clash - CNN,0.71283793,4592,Champions League Draw: PSG to play Real Madrid after re-draw  - CNN,0.68603766,3632,Karim Benzema scores a hat-trick as Real Madrid beats Celta Vigo 5-2 in La Liga - CNN,0.666983,2550,Champions League: Real Madrid goalkeeper Thibaut Courtois in 'happy place' ahead of crucial semifinal with former club - CNN,0.66121805,1.0,1.0,1.0,1.0,0.69181526,0.66121805,0.7319994
4096,"Qatar 2022: Amid ongoing human rights concerns, World Cup chief promises host nation is 'tolerant' and 'welcoming' - CNN",sport,politics,football,politics,3600,World Cup 2022: Qatar is ready as it strongly contests accusations of workers' rights abuses  - CNN,0.65631545,1877,World Cup: Netherlands hope to highlight Qatar migrant workers' situation - CNN,0.6162638,1858,Norway players wear T-shirts protesting Qatar World Cup ahead of qualifier against Gibraltar - CNN,0.6081997,4347,Gay footballer Josh Cavallo says he would be 'scared' to play at the 2022 World Cup in Qatar - CNN,0.5935873,4222,"World Cup 2022: Qatar inadequately investigating workplace deaths, says ILO - CNN",0.59277546,1.0,0.0,0.8,0.0,0.6134283,0.59277546,0.65631545
2345,'Exceptionally high' number of decapitated bodies found at Roman burial site - CNN,news,news,europe,uk,2820,Shackled skeleton tells grim story of slavery in Roman Britain - CNN,0.54979384,1436,Medieval bones tell a stark tale of hard work and physical trauma - CNN,0.5467411,2689,Iron Age people kept mementos of dead loved ones - CNN,0.4988383,1576,"Neanderthal burials: Child's skeleton buried 41,000 years ago may solve mystery - CNN",0.4484421,2396,Archaeologists recover victims of the Spanish Civil War - CNN,0.42814326,1.0,0.8,0.6,0.2,0.49439174,0.42814326,0.54979384
4285,T20 World Cup final: Australia wins first title with emphatic victory over New Zealand - CNN,sport,sport,sport,football,3802,T20 World Cup: Indian captain Kohli vows to rectify mistakes after loss to Pakistan - CNN,0.6166486,4519,The Ashes: Australia beat England by 275 runs in Adelaide test - CNN,0.58439595,3915,T20 World Cup: Oman ready to savor 'one in a million' opportunity as host - CNN,0.5291841,4651,The Ashes: England bowled out for just 147 at the 'Gabbatoir' on thrilling opening day - CNN,0.5288725,4649, The Ashes: Australia and England look to put off-field problems to one side as fierce rivalry reignites - CNN,0.51625323,1.0,1.0,1.0,0.8,0.5550709,0.51625323,0.6166486
1916,Meghan and Harry interview: The royals have always stayed out of politics. Now they've waded into Britain's culture wars - CNN,news,politics,uk,politics,1964,11 things we learned from Meghan and Harry's interview - CNN,0.75301445,2019,The racism Meghan says she experienced in the British royal family is reflective of wider society.  - CNN,0.7500422,2005,Meghan and Harry interview: Buckingham Palace says royal family is 'saddened' in first statement on behalf of the Queen - CNN,0.74529266,1966,Queen Elizabeth: Can the royal family survive after her death? - CNN,0.74035966,2000,Meghan and Harry interview: Prince William says royals are 'very much not a racist family'  - CNN,0.7398901,1.0,0.6,1.0,0.6,0.7457198,0.7398901,0.75301445
