Index,Headline,category,section,neighbor_1_index,neighbor_1_headline,neighbor_1_similarity,neighbor_2_index,neighbor_2_headline,neighbor_2_similarity,neighbor_3_index,neighbor_3_headline,neighbor_3_similarity,neighbor_4_index,neighbor_4_headline,neighbor_4_similarity,neighbor_5_index,neighbor_5_headline,neighbor_5_similarity,same_category_neighbor_ratio,same_section_neighbor_ratio,mean_neighbor_similarity,minimum_neighbor_similarity,maximum_neighbor_similarity
135,Medina Spirit's 2021 Kentucky Derby win has been nullified and horse trainer Bob Baffert is suspended - CNN,sport,sport,4666,Medina Spirit: Kentucky Derby winner dies at Santa Anita - CNN,0.8693974,4661,Medina Spirit: Kentucky Derby winner to undergo necropsy following sudden workout death - CNN,0.83156693,2492,Kentucky Derby 2021 winner: Here's what's next after Medina Spirit failed a postrace drug test - CNN,0.7764412,2523,Medina Spirit's Kentucky Derby win in doubt after failing postrace drug test - CNN,0.71412885,2509,Second-place Kentucky Derby finisher Mandaloun will inherit the 'winner' title if Medina Spirit is disqualified - CNN,0.69585115,1.0,1.0,0.77747715,0.69585115,0.8693974
136,Chris Caserta: Jockey presumed dead after being caught in rip current  - CNN,sport,sport,2453,Surfer dies after being bitten by shark in Australia - CNN,0.52677846,2807,Teenager in critical condition after breaching whale lands on fishing boat   - CNN,0.5094759,1707,"Human remains found inside crocodile, amid hunt for missing fisherman Andrew Heard - CNN",0.5021269,4331,Australia shark attack: Search for man who went missing called off - CNN,0.49935037,3700,Surfer dies in shark attack off Australian beach - CNN,0.47254258,0.0,0.0,0.5020548,0.47254258,0.52677846
137,2021 Belmont Stakes results: Essential Quality wins race - CNN,sport,sport,2492,Kentucky Derby 2021 winner: Here's what's next after Medina Spirit failed a postrace drug test - CNN,0.59330714,135,Medina Spirit's 2021 Kentucky Derby win has been nullified and horse trainer Bob Baffert is suspended - CNN,0.558256,4666,Medina Spirit: Kentucky Derby winner dies at Santa Anita - CNN,0.5354817,4661,Medina Spirit: Kentucky Derby winner to undergo necropsy following sudden workout death - CNN,0.5320246,2587,Kentucky Derby: Kendrick Carmouche looks to become the first Black jockey to win in over a century - CNN,0.5307549,1.0,1.0,0.5499649,0.5307549,0.59330714
138,Lor Sabourin: How feeling 'vulnerable' helped climber explore their identity  - CNN,sport,sport,660,Sasha DiGiulian: US climber wants more women in climbing after being told 'little girls don't belong'  - CNN,0.46300364,2915,'The twisties': How fear affects the mental health and physical safety of gymnasts like Simone Biles - CNN,0.403239,3427,"Skateboarding, climbing and karate:  The words you'll need to know to watch new sports at the Olympics  - CNN",0.39523214,657,Black Ice film aiming to boost diversity in climbing  - CNN,0.3892691,1752,"Steeplechaser Colleen Quigley discusses mental health, modeling and being 'hungry' for Olympic success - CNN",0.383663,1.0,1.0,0.4068814,0.383663,0.46300364
139,Nadhira Alharthy: Omani climber wants to 'die empty' in her quest to share knowledge - CNN,sport,sport,675,Nirmal Purja: Record breaking Nepalese climber shocked by climate change effects - CNN,0.46775806,4514,"Amir Assadollahzadeh: Fearing torture and possible execution, Iranian powerlifter quit team in Norway and ran for his life - CNN",0.453807,2856,'I was only thinking of staying alive': Nadia Nadim's journey from refugee camp to PSG star ... and back - CNN,0.4523031,2702,"Alaa Al-Siddiq, Emirati rights activist, dies in UK car accident - CNN",0.44544518,673,Doug Scott: Everest conqueror and mountaineering icon dies aged 79 - CNN,0.43361634,0.8,0.6,0.45058593,0.43361634,0.46775806
140,Janja Garnbret: Olympic hopeful on her Tokyo dream and hopes for climbing in the future  - CNN,sport,sport,3384,Janja Garnbret becomes first woman to win a climbing gold medal at the Olympics - CNN,0.7870111,660,Sasha DiGiulian: US climber wants more women in climbing after being told 'little girls don't belong'  - CNN,0.5656704,3397,The youngest and oldest Olympic athletes ever -- and at Tokyo 2020 - CNN,0.54572916,609,Mikaela Shiffrin left reeling after third Beijing crash: 'I just feel like a joke' - CNN,0.5378227,3396,Alberto Ginés wins first Olympic climbing gold in Tokyo  - CNN,0.53465474,1.0,1.0,0.5941776,0.53465474,0.7870111
141,Tom Stoltman harnesses 'superpower' of autism to become the World's Strongest Man - CNN,sport,sport,3469,"'Every single time I lift the bar, I'm just lifting my country up': Shiva Karout's quest for powerlifting glory - CNN",0.5069404,142,"His body 'totally depleted' by distance running, Ryan Hall turned to weightlifting and found a new lease of life - CNN",0.43960428,3704,"Morteza Mehrzadselakjani, the tallest Paralympian in history, helps Iran win sitting volleyball gold at the Tokyo Paralympics - CNN",0.42662573,662,Dani Arnold climbs the Cima Grande in record time - CNN,0.42395997,1821,Michael Miraglia completes his own Strongman Marathon on Utah's Bonneville Salt Flats  - CNN,0.40730357,1.0,1.0,0.4408868,0.40730357,0.5069404
142,"His body 'totally depleted' by distance running, Ryan Hall turned to weightlifting and found a new lease of life - CNN",sport,sport,143,Robbie Balenger: Vegan endurance athlete on his spiritual connection with running   - CNN,0.5725479,1821,Michael Miraglia completes his own Strongman Marathon on Utah's Bonneville Salt Flats  - CNN,0.55793464,4373,NYC Marathon: Kenenisa Bekele ready to 'make more history' as the New York City Marathon returns - CNN,0.4899664,3469,"'Every single time I lift the bar, I'm just lifting my country up': Shiva Karout's quest for powerlifting glory - CNN",0.4898851,2562,How marathon runner Des Linden ventured into the 'unknown' and broke the 50km record - CNN,0.4599709,1.0,1.0,0.514061,0.4599709,0.5725479
143,Robbie Balenger: Vegan endurance athlete on his spiritual connection with running   - CNN,sport,sport,142,"His body 'totally depleted' by distance running, Ryan Hall turned to weightlifting and found a new lease of life - CNN",0.5725479,2562,How marathon runner Des Linden ventured into the 'unknown' and broke the 50km record - CNN,0.5194741,1821,Michael Miraglia completes his own Strongman Marathon on Utah's Bonneville Salt Flats  - CNN,0.5166893,2573,Triathlon: 'Iron Cowboy' pushes the limits of human endurance - CNN,0.47465408,4729,Tiger Woods: Is this the end of his era? - CNN,0.47060996,1.0,0.8,0.51079506,0.47060996,0.5725479
144,Bodybuilding: Rene Campbell wants to change perceptions of what women should look like - CNN,sport,sport,2696,Laurel Hubbard: New Zealand weightlifter to become first transgender athlete at Olympic Games - CNN,0.4369101,2546,Weightlifter Hubbard poised to become first transgender Olympian -- report - CNN,0.4319017,3469,"'Every single time I lift the bar, I'm just lifting my country up': Shiva Karout's quest for powerlifting glory - CNN",0.41794056,2170,"Black Lives Matter: Ayesha McGowan is the first Black American woman in pro cycling
 - CNN",0.41792327,3168,Laurel Hubbard's Olympic dream has sparked an existential debate about what it means to be female - CNN,0.41611063,1.0,1.0,0.42415723,0.41611063,0.4369101
145,Eating disorders: Olympic high jumper Priscilla Frederick-Loomis pressured to 'perform better' and lose a few pounds - CNN,sport,sport,3268,Becca Meyers: US Paralympian swimmer heartbroken after pulling out of Tokyo Games because her mom can't be there as care assistant - CNN,0.4884175,3225,Overcoming tragedy to become Kenya's first female rower at the Tokyo Paralympics - CNN,0.48391873,3014,Olivia Breen: Paralympian angered after official said her sprint shorts were 'too short' - CNN,0.4799956,2647,CeCe Telfer: Transgender woman ruled ineligible to run in US Olympic Trials - CNN,0.4765339,146,Women sport stars' fight for body acceptance - CNN,0.47320992,1.0,1.0,0.4804151,0.47320992,0.4884175
146,Women sport stars' fight for body acceptance - CNN,sport,sport,3706,Oksana Masters: From hospital bed to Paralympic champion in two-and-a-half months - CNN,0.6215807,3439,Japanese swimmer hopes gold medal rush can help heal divided nation - CNN,0.61634356,3418,Raven Saunders' X podium protest: What it means and why the IOC is investigating - CNN,0.6066784,3434,Laurel Hubbard becomes first ​out transgender woman to compete at the Olympics - CNN,0.6066458,3383,Jamaica sprinters: 'I think we represent the hope of so many girls from the country' - CNN,0.60643107,1.0,1.0,0.6115359,0.60643107,0.6215807
148,University of Michigan students say they were sexually abused by Robert Anderson. An ex-NFL player wants their stories to be heard.  - CNN,sport,sport,1243,Can a survivor find solace in return to scene of rape? - CNN,0.49562907,4406,"Rana Reider, prominent track and field coach, under investigation over sexual misconduct complaints - CNN",0.45780975,2643,"NC State has been ruled out of the College World Series due to Covid-19 protocols, advancing Vanderbilt to the finals - CNN",0.45514995,4310,Dalvin Cook's former girlfriend filed a lawsuit accusing the Vikings running back of assault and other allegations  - CNN,0.4379707,3910,The Washington Football Team is retiring NFL star Sean Taylor's jersey after he was killed 14 years ago - CNN,0.43218517,0.8,0.8,0.45574895,0.43218517,0.49562907
149,Navid Afkari: Executed Iranian wrestling star's voice is 'everywhere now' - CNN,sport,sport,3624,"Navid Afkari: Executed Iranian wrestler still offers 'message of freedom,' says mother - CNN",0.7501689,3631,Fethi Nourine: Algerian judoka receives 10-year ban for withdrawing from Olympics to avoid Israel - CNN,0.54650986,1670,Saeid Mollaei: Iranian judoka says he'll never forget the kindness of the Israeli team  - CNN,0.54216176,2979,Algerian Olympian Fethi Nourine withdraws from Games due to potential matchup with Israeli competitor - CNN,0.53229076,3290,"Zaki Anwari: Afghan youth national footballer was one of the victims that fell from US military aircraft, says Afghan Sports Director  - CNN",0.5089994,1.0,0.8,0.5760261,0.5089994,0.7501689
150,Tokyo 2020: International Olympic Committee is coming under pressure over the alleged torture and arrest of Iranian athletes - CNN,sport,sport,3624,"Navid Afkari: Executed Iranian wrestler still offers 'message of freedom,' says mother - CNN",0.56414866,4514,"Amir Assadollahzadeh: Fearing torture and possible execution, Iranian powerlifter quit team in Norway and ran for his life - CNN",0.5630316,2977,Olympic protests are nearly as old as the Games themselves. So why are officials so hesitant to allow them? - CNN,0.55017585,4487,Friba Rezayee: Afghan sportswomen are still fearing for their lives after Taliban takeover - CNN,0.5482397,1670,Saeid Mollaei: Iranian judoka says he'll never forget the kindness of the Israeli team  - CNN,0.5335025,1.0,1.0,0.5518197,0.5335025,0.56414866
151,"Bundesliga: Targeted by far right group, Türkgücü Munich, founded by Turkish immigrants, looks to connect cultures - CNN",sport,football,4454,Ian Wright attacks 'disrespect' of Africa Cup of Nations - CNN,0.55625427,2306,"UEFA Champions League: Meet Otto Addo, the coach responsible for guiding some of Europe's brightest young footballers - CNN",0.51642436,1877,World Cup: Netherlands hope to highlight Qatar migrant workers' situation - CNN,0.5112986,4236,Lilian Thuram: World Cup winner urges players to walk off pitch if racially abused  - CNN,0.5086378,3040,Germany's Olympic soccer team walks off the pitch during friendly match over alleged racial abuse - CNN,0.4812615,1.0,1.0,0.51477534,0.4812615,0.55625427
156,Ethiopia pledges action after video shows uniformed men burning civilians alive - CNN,news,africa,2061,Ethiopia: After CNN reveals Tigray massacre UN rights chief says war crimes may have been committed  - CNN,0.7038765,176,"Solhan, Burkina Faso: How children were used in a 48-hour deadly rampage for gold - CNN",0.5391463,2139,Armenia mass killings: What to know  - CNN,0.51276386,780,They tried to use rape to silence women protesters. It didn't work - CNN,0.49694705,165,"Niger: Seven children killed in airstrike by Nigerian forces, official says - CNN",0.48959666,1.0,0.6,0.5484661,0.48959666,0.7038765
158,Amazon's going to Nollywood -- and its deals with studios could shake up one of the world's most prolific filmmaking hubs - CNN,news,africa,875,Nigeria's 'techpreneurs' are using technology to provide life-changing solutions - CNN,0.4416449,871,Nigeria's social media comedians are making laughter pay - CNN,0.43369603,1339,"Federal safety regulators investigating AmazonBasics products highlighted in CNN report 
 - CNN",0.39476734,20,Why internet backbone services Cogent and Lumen are cutting off Russia  - CNN,0.39442658,80,'The Adam Project' review: Ryan Reynolds comes back from the future in a 'Free Guy' reunion for Netflix  - CNN,0.3926282,0.4,0.4,0.4114326,0.3926282,0.4416449
159,Opinion: Media coverage of Ukraine shows it's time to rethink what we know about Africa - CNN,news,opinions,169,Indian and African students fleeing Ukraine say they face racism at border - CNN,0.614082,170,African nations on UN Security Council condemn racism at Ukrainian border - CNN,0.6105733,4662,"Oleksiy Reznikov, Ukraine's defense minister warns there will be a 'bloody massacre' if Russia invades - CNN",0.50893253,1915,"After Glen Kamara accuses Slavia's Ondrej Kudela of racist abuse, Steven Gerrard calls for action - CNN",0.50030166,4067, Alexander Lukashenko: Belarusian strongman tries to turn the tables in combative interview - CNN,0.49653137,0.8,0.0,0.5460841,0.49653137,0.614082
161,Opibus: The mobility startup converting Kenya to electric vehicles - CNN,news,africa,875,Nigeria's 'techpreneurs' are using technology to provide life-changing solutions - CNN,0.5125294,0,"There's a shortage of truckers, but TuSimple thinks it has a solution: no driver needed - CNN",0.46383876,47,These apps are trying to put car dealers out of business - CNN,0.4443835,184,ColdHubs: How solar-powered cold storage is keeping food fresh in Nigeria - CNN,0.4432767,49,"Electric robots are mapping the seafloor, Earth's last frontier - CNN",0.4308753,0.6,0.4,0.4589807,0.4308753,0.5125294
162,"Uganda's anti-vaxxers told to accept Covid shots or expect fines, jail time in proposed law - CNN",news,africa,3080,Unvaccinated health workers won't get paid in France - CNN,0.620836,3723,Australia Covid-19: Cases rise in Victoria despite lengthy lockdown - CNN,0.6029743,4703,Making Covid-19 vaccines mandatory was once unthinkable. But European countries are showing it can work - CNN,0.5961081,4257,Europe Covid: Leaders turns the screws on the unvaccinated - CNN,0.5938767,2530,Germany resists calls to waive patents on Covid-19 vaccines - CNN,0.5921484,1.0,0.0,0.60118866,0.5921484,0.620836
163,Burkina Faso: About 60 killed in blast at informal gold mine - CNN,news,africa,176,"Solhan, Burkina Faso: How children were used in a 48-hour deadly rampage for gold - CNN",0.70264435,4137,Russia mining accident: Death toll in Siberian coal mine tragedy rises to more than 50 - CNN,0.52390134,165,"Niger: Seven children killed in airstrike by Nigerian forces, official says - CNN",0.52377903,3307,Turkey floods: Death toll rises to 58 - CNN,0.43850315,3832,Russian gunpowder workshop explosion kills 17 -- report - CNN,0.4371664,1.0,0.4,0.5251989,0.4371664,0.70264435
164,This Nigerian tech startup is fighting baby jaundice with solar-powered cribs  - CNN,news,africa,1189,Heroin in America: The scarring of the next generation - CNN,0.3956672,785,Women are dying from backstreet abortions. But reforms to Malawi's 157-year-old laws are stuck - CNN,0.38703835,1519,UK: Black women are four times more likely to die in childbirth than their White counterparts. Little is being done to find out why - CNN,0.3812014,2058,"Inside the grounds of Europe's biggest Hindu temple, volunteers debunk myths and administer coronavirus vaccines - CNN",0.37938988,795,Trump's ban on global abortion funding has led to more abortions - CNN,0.37744564,0.4,0.0,0.3841485,0.37744564,0.3956672
165,"Niger: Seven children killed in airstrike by Nigerian forces, official says - CNN",news,africa,176,"Solhan, Burkina Faso: How children were used in a 48-hour deadly rampage for gold - CNN",0.5371503,163,Burkina Faso: About 60 killed in blast at informal gold mine - CNN,0.52377903,2507,Russia school shooting: At least 7 children killed in city of Kazan - CNN,0.49785757,156,Ethiopia pledges action after video shows uniformed men burning civilians alive - CNN,0.48959666,779,The Nigerian schoolgirls fighting against child marriage - CNN,0.46309853,1.0,0.8,0.5022964,0.46309853,0.5371503
166,"Higher food prices, slumping trade: How the war in Ukraine could hit Africa - CNN",business,business,45,"Wheat futures are soaring, and food prices could be next - CNN",0.73532915,46,War has brought the world to the brink of a food crisis - CNN,0.55959296,171,Kenya's UN ambassador slams Russia and compares Ukraine crisis to Africa's colonial past - CNN,0.5299106,13,Russia may have found a buyer for its cheap oil: India - CNN,0.5282918,4,Russia is no longer an option for investors. These emerging markets are - CNN,0.51014906,0.8,0.4,0.5726547,0.51014906,0.73532915
168,"'Help us, we're stranded': International students say they're trapped in northeast Ukraine - CNN",news,europe,169,Indian and African students fleeing Ukraine say they face racism at border - CNN,0.68333954,822,How to provide aid to those in Ukraine - CNN,0.56981635,4662,"Oleksiy Reznikov, Ukraine's defense minister warns there will be a 'bloody massacre' if Russia invades - CNN",0.50157547,4260,Why chaos in eastern Europe is never bad news for Vladimir Putin - CNN,0.50050193,3322,"Belarus floods the European Union with migrants, taking a page out of Putin's playbook - CNN",0.49632502,1.0,0.8,0.5503117,0.49632502,0.68333954
169,Indian and African students fleeing Ukraine say they face racism at border - CNN,news,europe,168,"'Help us, we're stranded': International students say they're trapped in northeast Ukraine - CNN",0.68333954,170,African nations on UN Security Council condemn racism at Ukrainian border - CNN,0.6470597,159,Opinion: Media coverage of Ukraine shows it's time to rethink what we know about Africa - CNN,0.614082,4312,Poland-Belarus: Migrants face hypothermia and broken bones in freezing forests as crisis deepens - CNN,0.6115861,1894,They wanted democracy for Belarus. Instead they say they were beaten and raped by police - CNN,0.60647845,1.0,0.6,0.6325092,0.60647845,0.68333954
170,African nations on UN Security Council condemn racism at Ukrainian border - CNN,news,africa,171,Kenya's UN ambassador slams Russia and compares Ukraine crisis to Africa's colonial past - CNN,0.72118497,169,Indian and African students fleeing Ukraine say they face racism at border - CNN,0.6470597,159,Opinion: Media coverage of Ukraine shows it's time to rethink what we know about Africa - CNN,0.6105733,2184,UN condemns 'reprehensible' UK race report for repackaging 'racist tropes into fact' - CNN,0.5781666,2393,Police forces across Europe accused of 'ethnic profiling' when stopping and searching people - CNN,0.5348118,1.0,0.0,0.6183592,0.5348118,0.72118497
171,Kenya's UN ambassador slams Russia and compares Ukraine crisis to Africa's colonial past - CNN,news,europe,170,African nations on UN Security Council condemn racism at Ukrainian border - CNN,0.72118497,166,"Higher food prices, slumping trade: How the war in Ukraine could hit Africa - CNN",0.5299106,159,Opinion: Media coverage of Ukraine shows it's time to rethink what we know about Africa - CNN,0.48522544,4662,"Oleksiy Reznikov, Ukraine's defense minister warns there will be a 'bloody massacre' if Russia invades - CNN",0.4711312,4273,EU slaps new sanctions on Belarus as NATO warns Russia over military buildup - CNN,0.45931947,0.8,0.4,0.5333544,0.45931947,0.72118497
172,"South Africa has passed its Omicron outbreak peak, says top scientific researcher - CNN",news,africa,4569,Australia moves to lift Covid-19 restrictions amid surge in Omicron infections  - CNN,0.6745925,4085,Netherlands says Omicron variant was already in country earlier than previously thought - CNN,0.6582422,4694,"Norway Christmas party Omicron outbreak is biggest outside S. Africa, authorities say - CNN",0.64572513,4591,UK battles Omicron 'tidal wave' with booster jabs as infections rise and first death from variant recorded - CNN,0.6420951,2175,"Pandemic deaths are accelerating, WHO warns, as world records most cases ever in a single week - CNN",0.62741446,1.0,0.0,0.6496139,0.62741446,0.6745925
174,Why are coups making a comeback in Africa?  - CNN,news,africa,362,Opinion: The biggest news story of 2021? Our imperiled democracy - CNN,0.40124512,171,Kenya's UN ambassador slams Russia and compares Ukraine crisis to Africa's colonial past - CNN,0.3946544,176,"Solhan, Burkina Faso: How children were used in a 48-hour deadly rampage for gold - CNN",0.392102,2799,Operation Barkhane: France declares end to anti-terror military mission in Sahel - CNN,0.37448353,197,Nigeria is oil rich and energy poor. It can't wait around for cheaper batteries  - CNN,0.37073278,0.6,0.2,0.38664356,0.37073278,0.40124512
176,"Solhan, Burkina Faso: How children were used in a 48-hour deadly rampage for gold - CNN",news,africa,163,Burkina Faso: About 60 killed in blast at informal gold mine - CNN,0.70264435,156,Ethiopia pledges action after video shows uniformed men burning civilians alive - CNN,0.5391463,165,"Niger: Seven children killed in airstrike by Nigerian forces, official says - CNN",0.5371503,3307,Turkey floods: Death toll rises to 58 - CNN,0.47119606,788,"A mother's impossible choice: risk rape to feed your family, or starve - CNN",0.45424044,1.0,0.8,0.54087543,0.45424044,0.70264435
177,AFCON: Senegal beats Egypt to win Africa Cup of Nations trophy - CNN,sport,football,4454,Ian Wright attacks 'disrespect' of Africa Cup of Nations - CNN,0.5552458,3982,France wins UEFA Nations League as VAR decision leaves Spain frustrated - CNN,0.5512942,4218,Ghana launches scathing attack on South Africa with FIFA set to review controversial penalty - CNN,0.51945925,4600,Samuel Eto'o: Soccer legend elected president of Cameroon FA - CNN,0.5035279,4276,Serbia stuns Portugal to qualify for 2022 World Cup - CNN,0.5027468,1.0,1.0,0.5264548,0.5027468,0.5552458
179,AFCON: NBA superstar Joel Embiid discusses his love of Cameroon - CNN,sport,sport,2034,"Joel Embiid, Ben Simmons sidelined from NBA All-Star Game due to Covid-19 protocol - CNN",0.5500124,4108,"Philadelphia 76ers star Joel Embiid on bout with Covid-19: ""I really thought I wasn't going to make it"" - CNN",0.5143912,4454,Ian Wright attacks 'disrespect' of Africa Cup of Nations - CNN,0.50245184,2469,Michael Jordan shares final text messages he exchanged with Kobe Bryant - CNN,0.50187314,122,Amilcar Djau Codjovi: Rising soccer star's harrowing escape from Ukraine - CNN,0.4781469,1.0,0.6,0.5093751,0.4781469,0.5500124
180,A viral image of a Black fetus is highlighting the need for diversity in medical illustrations - CNN,health,health,192,The creator of the viral Black fetus image will have his illustrations published in a book - CNN,0.8932148,1968, Archie: Meghan reveals 'concerns' within royal family about baby's skin color - CNN,0.46151537,2874,Britain's royals have denied being a racist family. Archived papers reveal recent racist past - CNN,0.44575965,1519,UK: Black women are four times more likely to die in childbirth than their White counterparts. Little is being done to find out why - CNN,0.43185306,2019,The racism Meghan says she experienced in the British royal family is reflective of wider society.  - CNN,0.4151122,0.2,0.2,0.529491,0.4151122,0.8932148
182,Ghana: How these companies going green could pay off for the country and the planet - CNN,news,africa,197,Nigeria is oil rich and energy poor. It can't wait around for cheaper batteries  - CNN,0.53678906,3973,France to ban plastic packaging for fruit and vegetables from January  - CNN,0.5137502,1028,Ethiopia - a land where coffee meets tradition - CNN,0.48108673,184,ColdHubs: How solar-powered cold storage is keeping food fresh in Nigeria - CNN,0.4599774,39,"India's got SaaS, the next big thing in tech, and it could be worth $1 trillion - CNN",0.45831668,0.6,0.4,0.48998404,0.45831668,0.53678906
184,ColdHubs: How solar-powered cold storage is keeping food fresh in Nigeria - CNN,news,africa,197,Nigeria is oil rich and energy poor. It can't wait around for cheaper batteries  - CNN,0.46113133,182,Ghana: How these companies going green could pay off for the country and the planet - CNN,0.4599774,161,Opibus: The mobility startup converting Kenya to electric vehicles - CNN,0.4432767,891,Bill Gates: Your question (and his response) - CNN,0.41434038,875,Nigeria's 'techpreneurs' are using technology to provide life-changing solutions - CNN,0.4077549,0.8,0.6,0.4372961,0.4077549,0.46113133
186,Masai Ujiri: 'It's fine being the first; I have a problem with being the only one' - CNN,sport,sport,3355,Team USA wins gold in men's basketball for the fourth Olympics in a row - CNN,0.50057197,2376,"Kamaru Usman, Israel Adesanya and Francis Ngannou: African-born UFC champions the stars of a new era of fighters from continent - CNN",0.49855185,3013,WNBA players Nneka Ogwumike and Elizabeth Williams won't play for Nigeria at Olympics after appeal rejected - CNN,0.49463332,2698,Money talks: Michael Jordan and the impact of not being an athlete activist - CNN,0.49247664,4178,Felix Afena-Gyan: AS Roma star says there was 'no racist intent' in banana comment captured in video - CNN,0.4889145,1.0,0.8,0.49502963,0.4889145,0.50057197
188,Chess coaches in Africa are building the next generation of grandmasters - CNN,sport,sport,191,Kenechukwu Cornelius Ogbuagu is creating a made-in-Nigeria board game industry - CNN,0.5776311,3191,Abhimanyu Mishra: 12-year-old becomes youngest grandmaster in chess history - CNN,0.5019591,711,These Kenyan gamers are putting Africa on the esports map - CNN,0.4959706,779,The Nigerian schoolgirls fighting against child marriage - CNN,0.495772,4612,Magnus Carlsen: Chess is now a money game - CNN,0.49215835,0.6,0.6,0.5126983,0.49215835,0.5776311
189,Amapiano: How this South African sound has become one of the hottest new music genres - CNN,news,africa,817,"Told not to drum, this woman is breaking a centuries-old taboo - CNN",0.42656434,487,Slovenian company Viberate wants to be the IMDb of the music industry - CNN,0.4248857,812,The feminist DJs in Uganda taking back the night  - CNN,0.42261952,873,These women are shaping the future of African space exploration - CNN,0.39029855,172,"South Africa has passed its Omicron outbreak peak, says top scientific researcher - CNN",0.3741247,1.0,0.8,0.40769857,0.3741247,0.42656434
191,Kenechukwu Cornelius Ogbuagu is creating a made-in-Nigeria board game industry - CNN,news,africa,188,Chess coaches in Africa are building the next generation of grandmasters - CNN,0.5776311,871,Nigeria's social media comedians are making laughter pay - CNN,0.51630497,711,These Kenyan gamers are putting Africa on the esports map - CNN,0.43651462,875,Nigeria's 'techpreneurs' are using technology to provide life-changing solutions - CNN,0.40524894,165,"Niger: Seven children killed in airstrike by Nigerian forces, official says - CNN",0.3682381,0.6,0.6,0.4607876,0.3682381,0.5776311
192,The creator of the viral Black fetus image will have his illustrations published in a book - CNN,health,health,180,A viral image of a Black fetus is highlighting the need for diversity in medical illustrations - CNN,0.8932148,871,Nigeria's social media comedians are making laughter pay - CNN,0.43543488,1968, Archie: Meghan reveals 'concerns' within royal family about baby's skin color - CNN,0.42669094,1235,Can forgotten rubella children of the '60s hold clue for Zika babies?  - CNN,0.40315914,865,"Black lives matter in children's books, too. That's why this couple started a non-profit  - CNN",0.39383185,0.4,0.4,0.5104663,0.39383185,0.8932148
197,Nigeria is oil rich and energy poor. It can't wait around for cheaper batteries  - CNN,business,business,182,Ghana: How these companies going green could pay off for the country and the planet - CNN,0.53678906,875,Nigeria's 'techpreneurs' are using technology to provide life-changing solutions - CNN,0.47849208,4172,Portugal's power production goes coal-free long before deadline - CNN,0.47161198,166,"Higher food prices, slumping trade: How the war in Ukraine could hit Africa - CNN",0.4670571,4486,Energy: The world is addicted to natural gas. Fossil fuel companies are fighting to keep it that way - CNN,0.46670812,0.2,0.2,0.48413166,0.46670812,0.53678906
199,Analysis: Japan's tough talk on Russia is really about China - CNN,news,asia,208,China's promotion of Russian disinformation indicates where its loyalties lie - CNN,0.67342305,209,China can't do much to help Russia's sanction-hit economy - CNN,0.58166856,2501,Olympics: Japanese government adviser sparks ire with tweet laughing off calls for cancellation - CNN,0.5678843,14,Japan orders crypto exchanges to comply with sanctions against Russia and Belarus - CNN,0.533667,2650,Why Britain's friends and adversaries will have watched the Russia confrontation closely - CNN,0.53276926,0.4,0.0,0.5778824,0.53276926,0.67342305
201,"Sri Lanka's leopards are under threat, but this woman is determined to save them - CNN",news,asia,3777,German dogs to sniff out wildlife at building sites to speed up work - CNN,0.44068283,4685,Storm Arwen: A rare sea turtle and seal pups have washed up on UK beaches - CNN,0.43884748,2425,Whipsnade Zoo: Bears killed at UK zoo after they escape from enclosure - CNN,0.42643142,369,Opinion: Why protecting the planet is essential to preventing future pandemics - CNN,0.36529487,4370,Madrid: Camels escape from circus and venture out to explore city - CNN,0.3575859,0.8,0.0,0.40576848,0.3575859,0.44068283
202,Wildlife flourishing in uninhabited areas around Fukushima  - CNN,news,asia,2926,Fukushima laments 'unfortunate' lack of fans for Japan's Olympic baseball game - CNN,0.4748103,1864,Tokyo Olympics torch relay starts its final leg as some suggest this day should never have come - CNN,0.42896384,15,Why potassium iodide pills are suddenly in high demand  - CNN,0.42238528,3777,German dogs to sniff out wildlife at building sites to speed up work - CNN,0.40010542,1920,"Australia's wildfires released as much smoke as a massive volcanic eruption, study finds - CNN",0.3999523,0.4,0.0,0.42524347,0.3999523,0.4748103
203,Self-driving robotaxis are taking off in China - CNN,business,tech,0,"There's a shortage of truckers, but TuSimple thinks it has a solution: no driver needed - CNN",0.54822487,3,This swarm of robots gets smarter the more it works - CNN,0.5385297,26,Shenzhen lockdown: Foxconn halts operations as Covid hits tech hub - CNN,0.45315504,32,Tesla's cruise control woes put damper on 'full self-driving' hopes  - CNN,0.43784446,19,Companies pulling back from Russia over the war in Ukraine - CNN,0.3957939,0.6,0.2,0.4747096,0.3957939,0.54822487
204,Australian court overturns teenagers' landmark climate ruling  - CNN,news,asia,3635,Climate change: Australia is shaping up to be the villain of COP26 talks in Glasgow - CNN,0.56986797,3976,Carbon emissions: Australia's energy minister dismisses call for tougher limits on polluters - CNN,0.5614661,3781,Islanders sue Australia for inaction on climate change - CNN,0.525273,4068,Analysis: Australia's climate policy is being dictated by a former accountant in a cowboy hat - CNN,0.52440685,3459,Climate change: Australia's Scott Morrison under pressure as biggest state boosts targets - CNN,0.51407343,1.0,0.0,0.5390175,0.51407343,0.56986797
